,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גזית גלוב אגח י- גזית-גלוב בע""מ",1260488,TASE,אחר,126,"נדל""ן ובינוי",AA-,מעלות,23/02/09,2.31,שקל חדש,6.50,0.01,"12,800,671.14",126.63,"16,209.49",1.85,1.11,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גזית גלוב אגח יב- גזית-גלוב בע""מ",1260603,TASE,אחר,126,"נדל""ן ובינוי",AA-,מעלות,29/01/15,7.47,שקל חדש,4.00,0.03,"6,741,525.00",105.65,"7,122.42",0.23,0.49,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"דקסיה הנ אגח י- דקסיה ישראל הנפקות בע""מ",1134147,TASE,אחר,1291,בנקים,AA-,מעלות,08/01/15,6.48,שקל חדש,1.50,0.01,"25,956,719.56",100.10,"25,982.68",4.30,1.78,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"דקסיה הנפקות ז 3.55- דקסיה ישראל הנפקות בע""מ",1119825,TASE,אחר,1291,בנקים,AA-,מעלות,26/01/17,3.18,שקל חדש,3.55,0.01,"723,552.00",118.52,857.55,0.15,0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"דקסיה ישראל הנ אגח ב 4.65- דקסיה ישראל הנפקות בע""מ",1095066,TASE,אחר,1291,בנקים,AA-,מעלות,06/08/12,2.13,שקל חדש,4.65,0.01,"7,314,086.44",130.49,"9,544.15",1.39,0.65,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"יואל  אגח 3- י.ו.א.ל. ירושלים אויל אקספלורשיין בע""מ",5830104,TASE,אחר,583,השקעות ואחזקות,AA-,מעלות,04/01/16,0.52,שקל חדש,1.28,0.61,"2,435,153.12",100.00,"2,435.15",6.49,0.17,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מליסרון אג""ח ח- מליסרון בע""מ",3230166,TASE,אחר,323,"נדל""ן ובינוי",AA-,מעלות,06/06/13,4.28,שקל חדש,2.55,0.01,"10,163,622.64",106.19,"10,792.75",1.12,0.74,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מליסרון אגח ה- מליסרון בע""מ",3230091,TASE,אחר,323,"נדל""ן ובינוי",AA-,מעלות,29/06/09,2.95,שקל חדש,5.10,0.01,"13,892,688.04",125.50,"17,435.32",1.94,1.19,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מליסרון אגח ט- מליסרון בע""מ",3230174,TASE,אחר,323,"נדל""ן ובינוי",AA-,מעלות,28/08/13,3.00,שקל חדש,2.29,0.01,"1,086,779.31",103.06,"1,120.03",0.18,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מליסרון אגח יד- מליסרון בע""מ",3230232,TASE,אחר,323,"נדל""ן ובינוי",AA-,מעלות,20/04/16,7.44,שקל חדש,2.15,2.35,"14,441,957.64",99.94,"14,433.29",2.68,0.99,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
