,תאריך הדיווח,30/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,303יל השתלמות כללי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001038-1162-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סלקום- סלקום ישראל בע""מ",1101534,TASE,אחר,2066,תקשורת ומדיה,שקל חדש,"36,600.00","3,755.00","1,374.33",0.04,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ תל אביב 90",,,,,,,"22,527,103.00",,"645,303.71",,32.85,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פוקס- ויזל- פוקס-ויזל בע""מ",1087022,TASE,אחר,1140,אופנה והלבשה,שקל חדש,"42,033.00","7,284.00","3,061.68",0.31,0.16,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ארד- ארד בע""מ",1091651,TASE,אחר,1219,אלקטרוניקה ואופטיקה,שקל חדש,"262,378.00","3,893.00","10,214.38",1.06,0.52,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מיטרוניקס- מיטרוניקס בע""מ",1091065,TASE,אחר,1212,אלקטרוניקה ואופטיקה,שקל חדש,"283,155.00","1,478.00","4,185.03",0.28,0.21,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"קמהדע- קמהדע בע""מ",1094119,TASE,אחר,1267,ביוטכנולוגיה,שקל חדש,"209,170.00","2,520.00","5,271.08",0.57,0.27,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"רדהיל- רדהיל ביופארמה בע""מ",1122381,TASE,אחר,1573,ביוטכנולוגיה,שקל חדש,"31,728.00",350.10,111.08,0.02,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פניקס 1- הפניקס אחזקות בע""מ",767012,TASE,אחר,767,ביטוח,שקל חדש,"252,009.00","1,451.00","3,656.65",0.10,0.19,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"כלל עסקי ביטוח- כלל החזקות עסקי ביטוח בע""מ",224014,TASE,אחר,224,ביטוח,שקל חדש,"78,985.00","5,705.00","4,506.09",0.14,0.23,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מגדל ביטוח- מגדל אחזקות ביטוח ופיננסים בע""מ",1081165,TASE,אחר,1041,ביטוח,שקל חדש,"5,998,846.00",350.00,"20,995.96",0.57,1.07,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
