,תאריך הדיווח,29/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,1039ילין לפידות גמל בני 60 ומעלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,9941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001035-9941-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אקויטל- אקויטל בע""מ",755017,TASE,אחר,755,השקעות ואחזקות,שקל חדש,"2,447.00","7,338.00",179.56,0.01,1.25,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ביטוח ישיר- ביטוח ישיר - השקעות פיננסיות בע""מ",1083682,TASE,אחר,1089,השקעות ואחזקות,שקל חדש,"1,020.00","2,990.00",30.50,0.00,0.21,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"יואל- י.ו.א.ל. ירושלים אויל אקספלורשיין בע""מ",583013,TASE,אחר,583,השקעות ואחזקות,שקל חדש,"3,917.00","16,750.00",656.10,0.02,4.55,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מבטח שמיר- מבטח שמיר אחזקות בע""מ",127019,TASE,אחר,127,השקעות ואחזקות,שקל חדש,"4,763.00","7,876.00",375.13,0.05,2.60,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"חנל יהש- חנ""ל - ים המלח שותפות מוגבלת",243014,TASE,אחר,243,חיפושי נפט וגז,שקל חדש,"4,550.00","3,074.00",139.87,0.01,0.97,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"בזן- בתי זקוק לנפט בע""מ",2590248,TASE,אחר,259,"כימיה, גומי ופלסטיק",שקל חדש,884.00,138.70,1.23,0.00,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פלסאון תעשיות- פלסאון תעשיות בע""מ",1081603,TASE,אחר,1057,"כימיה, גומי ופלסטיק",שקל חדש,40.00,"10,080.00",4.03,0.00,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"נובה- נובה מכשירי מדידה בע""מ",1084557,TASE,אחר,2177,מוליכים למחצה,שקל חדש,"1,383.00","4,425.00",61.20,0.01,0.42,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"נטו אחזקות- נטו מ.ע. אחזקות בע""מ",168013,TASE,אחר,168,מזון,שקל חדש,108.00,"29,930.00",32.32,0.00,0.22,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מזור רובוטיקה- מזור רובוטיקה ניתוחיות בע""מ",1106855,TASE,אחר,1487,מכשור רפואי,שקל חדש,10.00,"4,576.00",0.46,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
